,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937472,2024-01-05 00:18:23,1305,75.0,7.6598440208332965,4.837095395183621,19.632336614075864,16.744342426,1305,1575687,167887.9360698011,6.606855189045609,91123.93793103448,21000,1305,7.500000000000001e-08,7.659844020833297e-09,0.0,1.9632336614075866e-08,1.6744342426e-08,1305,0.03426227768419666,0.0034802395065632497,6.672157618113147,0.0018204188807262867,0.00035184119094600004
18937473,2024-01-05 00:18:35,1278,149.732460571,14.184942758257055,6.6347950533270525,20.61259732697183,16.494987214,1278,1870412,182531.12096117777,6.899476106586789,112263.02112676056,21000,1278,1.49732460571e-07,1.4184942758257072e-08,0.0,2.061259732697183e-08,1.6494987213999998e-08,1278,0.03198934269679587,0.00422344953279206,5.209836758967095,0.0023932661324312337,0.00034639473149399995
18937474,2024-01-05 00:18:47,1062,45.391739059,4.435547986416401,3.685367786588615,18.82559211666949,16.624383378,1062,728368,114675.67392617148,2.633806445105854,103985.57627118644,21000,1062,4.539173905900001e-08,4.435547986416404e-09,0.0,1.8825592116669493e-08,1.6624383378000004e-08,1062,0.013201220872267104,0.0020339895478666426,2.4232367295336807,0.0019255849001960739,0.0003491120509380001
18937475,2024-01-05 00:18:59,1143,147.20348745,12.829451329482158,8.315077303130119,19.41777349496063,16.246219941,1143,890466,107102.94718360556,3.7635845558015055,93736.10236220472,21000,1143,1.4720348745e-07,1.2829451329482143e-08,0.0,1.941777349496063e-08,1.6246219941000002e-08,1143,0.0211993630416243,0.0026979167806750488,4.352613265608732,0.001879312217362401,0.000341170618761
18937476,2024-01-05 00:19:11,2259,374.966943909,23.534714611447914,13.837969133806846,19.786730705689244,15.827133129,2259,1325758,132843.4966558635,6.191156899896003,92353.33864541832,21000,2259,3.7496694390900003e-07,2.353471461144792e-08,0.0,1.9786730705689245e-08,1.5827133129e-08,2259,0.040511053652984456,0.0035487974798727173,6.957872150206017,0.0019033408944794717,0.000332369795709
18937477,2024-01-05 00:19:23,1035,316.906106779,29.1901945831507,9.107974956017296,22.349032646678264,16.906106779,1035,596409,99582.02684180529,2.3171885309243496,100049.86956521739,21000,1035,3.1690610677900006e-07,2.91901945831507e-08,0.0,2.234903264667826e-08,1.6906106779000002e-08,1035,0.05592854044267827,0.005464894820916709,8.265178897572882,0.0024710929241186117,0.000355238242359
18937478,2024-01-05 00:19:35,1287,969.839561053,79.688978618068,11.665676885290337,25.542490265335662,16.413819969,1287,1215155,127693.75295043385,5.367722548175287,91728.02097902098,21000,1287,9.69839561053e-07,7.968897861806802e-08,0.0,2.5542490265335667e-08,1.6413819969e-08,1287,0.10246064010656629,0.008760636386879782,10.50281611001478,0.002457159226750349,0.00034490021934900004
18937479,2024-01-05 00:19:47,1206,316.156274413,26.171356993200533,10.818381353506341,20.550660047835823,16.156274413,1206,5638820,489221.09348788136,10.666574547738248,135392.18656716417,21000,1206,3.16156274413e-07,2.6171356993200543e-08,0.0,2.0550660047835822e-08,1.6156274413e-08,1206,0.12969286,0.011942670848526429,9.394018461824917,0.003040074845449775,0.00033928176267300004
